seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	13000	73559.415756537	50.43169076102121	1084.3216218276934	-2.164070428989362e-05	-1.0728836059570312e-05	0.0015489290235564113	-0.008416696451604366	-0.0108642578125	0.8320887088775635	-0.042013980904403996	7.4482109741288784	-0.003360600281556185	1.6467301103533531	0.7460918872027981
0	14000	74699.61059072067	51.31372591913963	1083.4832860241304	-2.1416813979158178e-05	-1.0967254638671875e-05	0.0015981296310201287	-0.00874965637922287	-0.01143646240234375	0.9550636410713196	-0.07311191485852611	7.661197146590875	-0.0047949865011019015	1.674477827792265	0.7663680993172587
0	15000	75708.18476961098	52.12270604347696	1082.343009126379	-2.112757101713214e-05	-1.0251998901367188e-05	0.0016435995930805802	-0.009073272347450256	-0.01200103759765625	1.09243643283844	-0.0669544801420095	7.918775422232492	-0.005648644895302095	1.6987100705808522	0.7898769980790664
0	16000	76603.9104950574	52.85558930221869	1081.257289773616	-2.088113615172915e-05	-1.2993812561035156e-05	0.0016851837281137705	-0.009391267783939838	-0.01248931884765625	1.2367700338363647	-0.05366807324545724	8.14084335735866	-0.004633281050271767	1.7203811662537711	0.8130058866678452
0	17000	77392.77967554209	53.51421963438696	1080.1822044188557	-2.0373068764456548e-05	-1.2814998626708984e-05	0.0017230042722076178	-0.009697196073830128	-0.01297760009765625	1.3930023908615112	-0.04632228734541913	8.36196832754174	-0.006960023658640243	1.739395616005878	0.8364882791528896
0	18000	78083.08633609694	54.09746633257185	1079.23980689031	-1.9968127162428573e-05	-1.1146068572998047e-05	0.0017568616895005107	-0.009990669786930084	-0.01346588134765625	1.5598973035812378	-0.024448180685237964	8.559193494368573	-0.002288632438420654	1.7560207199077218	0.8589056137264991
0	19000	78697.90288185587	54.62026401441924	1078.4180138692484	-1.9932989744120277e-05	-1.1146068572998047e-05	0.0017873805481940508	-0.010289015248417854	-0.0139617919921875	1.7396949529647827	0.0012439452871984365	8.717970629127658	0.0013737526097444238	1.7709052647863115	0.8795862307353896
0	20000	79240.88693797831	55.06956225025411	1077.9202502391574	-1.912173866003286e-05	-1.3530254364013672e-05	0.0018134948331862688	-0.010599943809211254	-0.014434814453125	1.9167273044586182	0.002450473454533791	8.814906095971866	-0.000385226978820073	1.7845042481714366	0.8936105026882522
0	21000	79702.56032764669	55.4933842250279	1077.0582572869948	-1.8658300177776255e-05	-9.834766387939453e-06	0.0018385602161288261	-0.01089521311223507	-0.01488494873046875	2.1166796684265137	-0.01096207146741906	8.970705368080917	-0.004156063957505622	1.7959125273081722	0.9145182419796379
0	22000	80110.21522241709	55.86286124404596	1076.4126212830329	-1.79706603375962e-05	-1.2636184692382812e-05	0.0018603048520162702	-0.011168845929205418	-0.015380859375	2.3232717514038086	-0.0032920691431785115	9.087535454302419	-0.0006505021278429597	1.8061725059334113	0.9316807504819364
